ParentSKU,Description,Active,DeliveryGroup,SortOrder,Notes,BatterySKU1,BatteryQty1,BatterySKU2,BatteryQty2,BatterySKU3,BatteryQty3,ChargerSKU1,ChargerQty1,ChargerSKU2,ChargerQty2,ChargerSKU3,ChargerQty3,AttachmentSKU1,AttachmentQty1,AttachmentSKU2,AttachmentQty2,AttachmentSKU3,AttachmentQty3,AccessorySKU1,AccessoryQty1,PartSKU1,PartQty1
SA06 011 8211 US,STIHL KOA20 w/AS2 Battery & AL1 Charger,T,HANDHELD,177,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
MA04 011 5867 US,STIHL MSA60.0C-B w/AK20 Battery & AL101,T,HANDHELD,182,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
MA04 011 5883 US,STIHL MSA70.0C-B w/AK30 Battery & AL101,T,HANDHELD,185,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
MA04 011 5835 US,STIHL MSA80.0C-B w/AK30S Battery & AL101,T,HANDHELD,187,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
RA02 011 7611 US,STIHL RCA20 w/2 - AS2 Battery & AL1 Charger,T,HANDHELD,228,,EA02 400 6501,2,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
RA01 011 7623 US,STIHL REA60 Plus w/AK30S Battery & AL101,T,HANDHELD,232,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
RA01 011 7633 US,STIHL REA100 Plus w/AP300S Battery & AL301,T,HANDHELD,234,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
WA31 211 0000 US,STIHL RMA348.0 w/AK30S Battery & AL101 Charger,T,WALKBEHIND,238,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
WA31 211 0001 US,STIHL RMA348.0V w/AK30S Battery & AL101,T,WALKBEHIND,240,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
WA41 211 0000 US,STIHL RMA448V w/AK30S Battery & AL101 Charger,T,WALKBEHIND,242,,4520 400 6546,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
